Fold,Epoch,Train_CE_Loss,Train_P_Loss,Train_Sh_Loss,Train_Total_Loss,Val_CE_Loss,Val_P_Loss,Val_Sh_Loss,Val_Total_Loss,Val_Acc,Mean_IoU,IoU_Class0,P_Class0,R_Class0,F1_Class0,Support_Class0,IoU_Class1,P_Class1,R_Class1,F1_Class1,Support_Class1,IoU_Class2,P_Class2,R_Class2,F1_Class2,Support_Class2,IoU_Class3,P_Class3,R_Class3,F1_Class3,Support_Class3,IoU_Class4,P_Class4,R_Class4,F1_Class4,Support_Class4,IoU_Class5,P_Class5,R_Class5,F1_Class5,Support_Class5,IoU_Class6,P_Class6,R_Class6,F1_Class6,Support_Class6,IoU_Class7,P_Class7,R_Class7,F1_Class7,Support_Class7,IoU_Class8,P_Class8,R_Class8,F1_Class8,Support_Class8,IoU_Class9,P_Class9,R_Class9,F1_Class9,Support_Class9,Precision_Macro,Recall_Macro,F1_Macro,Precision_Micro,Recall_Micro,F1_Micro
1,16,0.5198838861161327,0,0,0.5198838861161327,0.5339837967108727,0,0,0.5339837967108727,0.10941987430721795,0.031285922,0.014958357342668451,0.016611097212065228,0.13069262580793725,0.029475805,317011,0.10926957946046655,0.5417263368369856,0.12039884604323162,0.19701176609136575,10657245,0.067876721,0.2498668330795306,0.085248152,0.12712463880698904,5067887,0.005019136,0.005307686,0.084520536,0.00998814,104377,0.000561415,0.000565082,0.079614739,0.0011222,11317,0.001635938,0.001668907,0.076478205,0.003266532,34755,0.029633124239671835,0.043510812,0.085010689,0.05756055,850446,0.001638687,0.001666501,0.089404692,0.003272012,32269,0.028620549065926922,0.035720942,0.12586297273631603,0.055648410080698395,671516,0.053645708,0.090587628,0.11625493884304541,0.10182874191041763,1930361,0.098723183,0.09934864,0.05862988,0.10941987430721795,0.10941987430721795,0.10941987430721795
2,1,1.3823112342677248,0,0,1.3823112342677248,1.067468207642796,0,0,1.067468207642796,0.11158248050127498,0.031278816,0.013189178304194438,0.014415283478461756,0.13424770045391277,0.026034977,275163,0.11326540106168072,0.5516556551751252,0.12474899840337858,0.20348319628664222,10685689,0.067609252,0.2548341512022732,0.08426904,0.1266554247531419,5153055,0.00534436,0.005674676,0.084092769,0.010631900069798436,109950,0.0004721,0.000474855,0.075249136,0.000943755,9834,0.001562334,0.001592357,0.076523875,0.003119795,32565,0.027639021108587746,0.039573494,0.083953946,0.053791303,772221,0.00141854,0.001441013,0.083375323,0.002833062,29769,0.028290076,0.035110306545410724,0.12712265119114768,0.055023533,657727,0.053997896,0.091225706,0.1168576847916499,0.10246300548682667,1951211,0.09959975,0.099044112,0.058497995,0.11158248050127498,0.11158248050127498,0.11158248050127498
1,18,0.4742627324758223,0,0,0.4742627324758223,0.5164049953147831,0,0,0.5164049953147831,0.1098044821860689,0.031274047,0.014652639,0.016252288309375074,0.12957909977887203,0.028882079723483507,317011,0.1099986192104097,0.5425069275337979,0.12124550012690898,0.19819595683579588,10657245,0.067901844,0.251796771,0.085065235,0.12716869916840537,5067887,0.00511211,0.005410828,0.084750472,0.010172218207074672,104377,0.000527442,0.000530972,0.073517717,0.001054328,11317,0.001634133,0.001667683,0.075125881,0.003262934,34755,0.029837152824249275,0.044043503,0.084670867,0.057945380475783334,850446,0.001616452,0.001644152,0.087545322,0.003227686,32269,0.028848684089538956,0.035867297774355995,0.12848390805282375,0.056079547,671516,0.052611394,0.088122375,0.11548099034325704,0.099963565,1930361,0.09878428,0.098546499,0.05859524,0.1098044821860689,0.1098044821860689,0.1098044821860689
1,1,1.378095409256731,0,0,1.378095409256731,1.0199732206743226,0,0,1.0199732206743226,0.10986663538847835,0.031269059,0.014795278099683527,0.016417973,0.13020368378384345,0.029159138634127904,317011,0.1101679042686591,0.546392345,0.12125816756582025,0.19847070671932993,10657245,0.067385489,0.25341229,0.084077052,0.1262627033374824,5067887,0.00515023,0.005456959,0.083936116,0.010247682545252507,104377,0.000550394,0.000554135,0.075373332,0.001100182,11317,0.001639986,0.00167414,0.07440656,0.003274601,34755,0.029856504203273657,0.04414585,0.084449806,0.057981872,850446,0.001623663,0.00165134,0.088320059,0.003242063,32269,0.028547194,0.035303347,0.1298062890534254,0.05550974,671516,0.052973948783476395,0.08758515,0.11820690534050367,0.10061777662149828,1930361,0.099259353,0.099003797,0.058586647,0.10986663538847835,0.10986663538847835,0.10986663538847835
1,14,0.5330252366995037,0,0,0.5330252366995037,0.5773439103618053,0,0,0.5773439103618053,0.10944289589404663,0.031258266,0.014922742704589823,0.016551457,0.13167997325013958,0.029406657426600473,317011,0.10927462158242297,0.5405994945118063,0.12046077574457564,0.19701996143486727,10657245,0.068047312,0.25320641858860066,0.085133114,0.1274237785361173,5067887,0.005148406,0.005448599,0.08545944,0.010244071903737882,104377,0.000559229,0.000562931,0.078377662,0.001117834,11317,0.001644393,0.001677832,0.076219249,0.003283386,34755,0.029809742901149242,0.043841116,0.085204704,0.05789369,850446,0.001627074,0.001654717,0.088753912,0.003248862,32269,0.028327192237027284,0.035286586,0.12559045503011096,0.055093734,671516,0.053221948,0.089377562,0.11626892586412593,0.10106501900139074,1930361,0.098820671,0.099314821,0.058579699373717875,0.10944289589404663,0.10944289589404663,0.10944289589404663
1,70,0.21864939881155235,0,0,0.21864939881155235,0.4013537101751561,0,0,0.4013537101751561,0.1089522260908878,0.031242878,0.014854230503935436,0.016500108825464033,0.12961379889025934,0.029273623851495255,317011,0.10809926216152886,0.5386626817898512,0.11912834883687107,0.1951075428940609,10657245,0.069175318,0.2533877334929276,0.086884731,0.12939939259086636,5067887,0.005050351,0.005339009,0.085430698,0.010049945422383416,104377,0.000578229,0.00058197,0.082530706,0.001155789,11317,0.00165276,0.001685826,0.077715437,0.003300066,34755,0.029955403311845714,0.04390231,0.086168904,0.05816835,850446,0.001627718,0.00165519,0.089311723,0.003250146,32269,0.028591276,0.035752311,0.12491437285187545,0.055593074757912773,671516,0.052844236,0.089601851,0.11411544265554474,0.10038376909418144,1930361,0.098706899,0.099581416,0.05856817,0.1089522260908878,0.1089522260908878,0.1089522260908878
1,92,0.17998420566841525,0,0,0.17998420566841525,0.3830936866983784,0,0,0.3830936866983784,0.10874620067586907,0.031224027,0.014949462,0.016611959,0.1299639444688039,0.029458535,317011,0.10762464901636004,0.5382522005626795,0.11857210751934483,0.19433415302185167,10657245,0.069597315,0.2550367970043926,0.087356328,0.1301374151535577,5067887,0.00512096,0.005412753,0.086752829,0.01018974,104377,0.00059199,0.000595808,0.084563047,0.00118328,11317,0.001672402,0.00170568,0.078952669,0.003339219,34755,0.029940583281184815,0.04380736,0.086413482,0.058140408810380316,850446,0.001583905,0.001610661,0.08704949,0.0031628,32269,0.028459307250549418,0.035594117827627725,0.1243261515734547,0.055343575,671516,0.052699698,0.089368612,0.11381964306158278,0.10012294753266449,1930361,0.098799595,0.099776969,0.058541207,0.10874620067586907,0.10874620067586907,0.10874620067586907
1,11,0.6085231839171258,0,0,0.6085231839171258,0.5900544137085209,0,0,0.5900544137085209,0.10914676612263219,0.031195224,0.014867458465135767,0.016505484045378094,0.1302920087946475,0.029299310646182308,317011,0.10890529384502964,0.5414131251307406,0.11997209410124286,0.19641946782923236,10657245,0.067450922,0.25087400445544467,0.084462815,0.12637756022411195,5067887,0.005161217,0.005462363,0.08560315,0.010269430313841145,104377,0.00056012,0.000563847,0.078112574,0.001119612,11317,0.00160459,0.001637439,0.074061286,0.003204039,34755,0.029935042402131393,0.044084986,0.085308179,0.058129962,850446,0.00158551,0.001612545,0.086398711,0.003166,32269,0.0285986,0.035533216,0.12781080421017518,0.055606919,671516,0.053283490053406206,0.089012415,0.1171899971041686,0.10117597124911638,1930361,0.098669942,0.098921162,0.058476827,0.10914676612263219,0.10914676612263219,0.10914676612263219
1,12,0.5874000939600275,0,0,0.5874000939600275,0.5627288526539799,0,0,0.5627288526539799,0.10899344133794754,0.031164945,0.014847148298879597,0.016494337269821566,0.1294308399393081,0.029259870954491774,317011,0.10846175649526162,0.5394416399069893,0.11953042273120304,0.19569778724382225,10657245,0.068074492,0.25324238729821985,0.085171591,0.127471431,5067887,0.005104202,0.005402555,0.084606762,0.010156563582894282,104377,0.000565021,0.000568763,0.079084563,0.001129404,11317,0.001639851,0.001673327,0.075758884,0.003274332,34755,0.029982658914310494,0.044107375,0.08561155,0.058219735,850446,0.001591868,0.00161896,0.086863553,0.003178677,32269,0.028439384182717003,0.035314641,0.1274593606109162,0.055305903,671516,0.052943072,0.08855001,0.11634455938552427,0.10056207873759077,1930361,0.0986414,0.098986209,0.058425578,0.10899344133794754,0.10899344133794754,0.10899344133794754
1,7,0.7396375084300522,0,0,0.7396375084300522,0.6734739461608176,0,0,0.6734739461608176,0.10880652434819942,0.03114947,0.014995981634676084,0.016658841175521542,0.13061060972647637,0.029548849,317011,0.10848347146563744,0.5396022977299265,0.11954890780872543,0.19573313316472019,10657245,0.067072781,0.24807442401337307,0.084188341,0.12571360044739344,5067887,0.005005013,0.005294012,0.083984019,0.009960175,104377,0.000520865,0.000524302,0.073606079,0.001041188,11317,0.001635289,0.001668328,0.076276795,0.003265239,34755,0.029645633457191484,0.043524537,0.08506125,0.057584148359182116,850446,0.001584477,0.001611401,0.086615637,0.003163941,32269,0.028648705,0.0356932,0.12675796258019167,0.05570163,671516,0.053902481,0.090704381,0.11727184707938049,0.10229121254514102,1930361,0.098335572,0.098392145,0.058400312,0.10880652434819942,0.10880652434819942,0.10880652434819942
1,15,0.5089546430120857,0,0,0.5089546430120857,0.5212263564186033,0,0,0.5212263564186033,0.10849779114735117,0.031134368,0.015020992681240092,0.016697885549833556,0.13011220430836784,0.029597402988801678,317011,0.1076953493714834,0.5387946685031545,0.11863159756578741,0.19444940241482594,10657245,0.067733454,0.2505825572210027,0.084939739,0.12687333916516746,5067887,0.005065681,0.005357774,0.08501873,0.010080299341952063,104377,0.0005652,0.00056889,0.080144915,0.001129761,11317,0.001626805,0.001659485,0.076305568,0.003248326,34755,0.029646904111024816,0.04350514,0.085145912,0.057586545,850446,0.001601106,0.001628214,0.087731259,0.003197093,32269,0.028670047048351292,0.035706511,0.1270081427694947,0.055741969,671516,0.053718138,0.090308995,0.11706048764971941,0.10195921658409167,1930361,0.098481012,0.099209855,0.058386335444298186,0.10849779114735117,0.10849779114735117,0.10849779114735118
1,47,0.2681705816947451,0,0,0.2681705816947451,0.391624455,0,0,0.391624455,0.10831173810236261,0.031134133,0.014974279730207369,0.016652488432388094,0.12936459618120508,0.029506718,317011,0.10726407717515658,0.5395638784238426,0.1180716029330282,0.19374615213528443,10657245,0.068637079,0.25156964841832274,0.086248963,0.12845722897390857,5067887,0.005104628,0.005395476,0.086503732,0.010157407,104377,0.000549044,0.000552594,0.078731112,0.001097485,11317,0.001652861,0.001685729,0.078147029,0.003300268,34755,0.029814755077974205,0.043597252,0.086183015,0.057903142,850446,0.001581692,0.001608372,0.08704949,0.003158389,32269,0.028501981832550687,0.035607714354206045,0.1249769178992012,0.055424262346615606,671516,0.053260934,0.090194318,0.11509712432026963,0.10113530788870788,1930361,0.098642747,0.099037358,0.058388636,0.10831173810236261,0.10831173810236261,0.10831173810236261
1,46,0.2697202409683517,0,0,0.2697202409683517,0.42117223592721653,0,0,0.42117223592721653,0.10848894841863552,0.03111942,0.014846530834028263,0.016498763298172518,0.12911223900747923,0.029258671893625104,317011,0.10755810710281433,0.5379721978236367,0.11850492317667465,0.19422566890719303,10657245,0.068882649,0.25253782987756906,0.086522845,0.1288872056180487,5067887,0.00510966,0.005401584,0.086379183,0.010167368003802614,104377,0.000538601,0.000542103,0.07696386,0.001076623,11317,0.001625944,0.001658413,0.076679614,0.003246609,34755,0.029626294094994367,0.043372768,0.085485733,0.057547664,850446,0.001596189,0.001623098,0.087824228,0.00318729,32269,0.028469007678111436,0.035600019,0.12443932832575844,0.055361917,671516,0.052941213149099615,0.089730864,0.11435840239209143,0.10055872538366106,1930361,0.098493764,0.098627036,0.058351774232671086,0.10848894841863552,0.10848894841863552,0.10848894841863552
1,100,0.17631775567573274,0,0,0.17631775567573274,0.40050527314460843,0,0,0.40050527314460843,0.10811953580349709,0.031111017,0.015001637206691497,0.016684232,0.12949077476806797,0.029559828588998846,317011,0.10673914581073331,0.5375387038423823,0.11753225153405031,0.19288943779528528,10657245,0.069437645,0.2536629348561124,0.08726635,0.12985823988903253,5067887,0.005065191,0.00535254,0.086216312,0.010079327522141983,104377,0.00054562,0.00054913,0.07864275,0.001090645,11317,0.001652765,0.001685456,0.078521076,0.003300077,34755,0.029842919186589278,0.043588427,0.086453461,0.057956255,850446,0.001570845,0.001597263,0.086739595,0.003136764,32269,0.028506700680155796,0.035683512,0.12414149476706438,0.055433184171389836,671516,0.052747699,0.089636912,0.11360983774537509,0.100209573,1930361,0.098597911,0.09886139,0.058351333091949585,0.10811953580349709,0.10811953580349709,0.10811953580349709
1,10,0.6349517850951291,0,0,0.6349517850951291,0.6240032877552817,0,0,0.6240032877552817,0.1087774551480537,0.031091363,0.014905156,0.016548959923694664,0.1304781222102703,0.02937251,317011,0.10819564760976483,0.5376856921121691,0.11929340087424095,0.195264524,10657245,0.067714235,0.2529878374975007,0.084636852,0.12683962252992012,5067887,0.005116165,0.005416785,0.084405568,0.010180246,104377,0.00053782,0.000541429,0.074666431,0.001075062,11317,0.001691844,0.001726551,0.077629118,0.003377972,34755,0.029923076446011904,0.044114761,0.085100053,0.058107401,850446,0.001613523,0.00164097,0.087979175,0.003221847,32269,0.028288293353220043,0.035087949587684394,0.12738043471786226,0.055020160272315634,671516,0.052927871678069546,0.088177002,0.11692061743891427,0.10053465788443318,1930361,0.098392794,0.098848977,0.0582994,0.1087774551480537,0.1087774551480537,0.1087774551480537
1,54,0.28287834211948215,0,0,0.28287834211948215,0.4504518898748339,0,0,0.4504518898748339,0.10828033116933805,0.031086775,0.014856475427526756,0.016509653574202744,0.1291974095536117,0.029277983216825204,317011,0.10727594753367434,0.5377402719174871,0.11817369310736499,0.19376551576437429,10657245,0.068632241,0.2515869137111532,0.086239295,0.1284487552211118,5067887,0.005067924,0.005357414,0.08574686,0.01008474,104377,0.000550133,0.000553706,0.078554387,0.001099661,11317,0.001650258,0.001683155,0.077859301,0.003295077,34755,0.029649616551670192,0.043399752,0.085575098,0.057591662396704844,850446,0.001589118,0.001615849,0.087638291,0.003173193,32269,0.028361717980605907,0.035465994,0.12402682884696715,0.055159031,671516,0.053234315519199105,0.0902381,0.11490182406296025,0.10108731691476816,1930361,0.098415081,0.098791299,0.058298294,0.10828033116933805,0.10828033116933805,0.10828033116933804
1,9,0.6541343129842506,0,0,0.6541343129842506,0.6958323098737731,0,0,0.6958323098737731,0.10846643503460658,0.03108057,0.014833223186537695,0.016492305250761015,0.12850342732586567,0.029232829291815927,317011,0.10777792397351842,0.5399918621396936,0.11867382236215833,0.19458398951827255,10657245,0.067630289,0.25100954242650275,0.084728803,0.1266923387744571,5067887,0.005075669,0.005370638,0.084597181,0.010100074234973708,104377,0.000536794,0.000540347,0.075461695,0.001073011,11317,0.001656817,0.001690363,0.077053661,0.003308154,34755,0.029780379,0.043712425,0.085452809,0.057838312,850446,0.001587477,0.001614312,0.087173448,0.003169922,32269,0.028461830839401455,0.035375233,0.12712280868959192,0.055348346,671516,0.053465299736728915,0.089517029,0.11719673159579996,0.10150367506189413,1930361,0.098531406,0.098596439,0.058285065,0.10846643503460658,0.10846643503460658,0.10846643503460658
